User's manual r01uh0959ej0110-rl78g15; Version 1.00; April 13, 2023
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
ADM2,10.3.3 A/D converter mode register 2 (ADM2),Figure10-6.FormatofA/DConverterModeRegister2(ADM2),,,
ADTYP,10.3.3 A/D converter mode register 2 (ADM2),Figure10-6.FormatofA/DConverterModeRegister2(ADM2),2,,
ADTES,10.3.7 A/D test register (ADTES),Figure10-10.FormatofA/DTestRegister(ADTES),,,
PU0,"4.3.3 Pull-up resistor option registers 0, 2, 4, 12 (PU0, PU2, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,2,4,12(PU0,PU2,PU4,PU12)",,,
PU2,"4.3.3 Pull-up resistor option registers 0, 2, 4, 12 (PU0, PU2, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,2,4,12(PU0,PU2,PU4,PU12)",,,
PU4,"4.3.3 Pull-up resistor option registers 0, 2, 4, 12 (PU0, PU2, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,2,4,12(PU0,PU2,PU4,PU12)",,,
PU12,"4.3.3 Pull-up resistor option registers 0, 2, 4, 12 (PU0, PU2, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,2,4,12(PU0,PU2,PU4,PU12)",,,
POM0,"4.3.4 Port input mode registers 0, 2, 4 (POM0, POM2, POM4)","Figure4-4.FormatofPortOutputModeRegisters0,2,4(POM0,POM2,POM4)",,,
POM2,"4.3.4 Port input mode registers 0, 2, 4 (POM0, POM2, POM4)","Figure4-4.FormatofPortOutputModeRegisters0,2,4(POM0,POM2,POM4)",,,
POM4,"4.3.4 Port input mode registers 0, 2, 4 (POM0, POM2, POM4)","Figure4-4.FormatofPortOutputModeRegisters0,2,4(POM0,POM2,POM4)",,,
PMC0,"4.3.5 Port mode control registers 0, 2 (PMC0, PMC2)","Figure4-5.FormatofPortModeControlRegisters0,2(PMC0,PMC2)",,,
PMC2,"4.3.5 Port mode control registers 0, 2 (PMC0, PMC2)","Figure4-5.FormatofPortModeControlRegisters0,2(PMC0,PMC2)",,,
NFEN0,12.3.15 Noise filter enable register 0 (NFEN0),Figure12-18.FormatofNoiseFilterEnableRegister0(NFEN0),,,
NFEN1,6.3.13 Noise filter enable registers 1 (NFEN1),Figure6-21.FormatofNoiseFilterEnableRegisters1(NFEN1)(1/2),,,
ISC,6.3.12 Input switch control register (ISC),Figure6-20.FormatofInputSwitchControlRegister(ISC),,TIMER ARRAY UNIT,
ISC,12.3.14 Input switch control register (ISC),Figure12-17.FormatofInputSwitchControlRegister(ISC),,SERIAL ARRAY UNIT,
PIOR2,4.3.6 Peripheral I/O redirection registers 0 to 3 (PIOR0 to PIOR3),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to3(PIOR0toPIOR3),,,
PIOR0,4.3.6 Peripheral I/O redirection registers 0 to 3 (PIOR0 to PIOR3),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to3(PIOR0toPIOR3),,,
PIOR1,4.3.6 Peripheral I/O redirection registers 0 to 3 (PIOR0 to PIOR3),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to3(PIOR0toPIOR3),,,
