User's manual r01uh0980ej0120-rl78g16; Version 1.00; March 13, 2024
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
ADM2,11.3.3 A/D converter mode register 2 (ADM2),Figure11-6.FormatofA/DConverterModeRegister2(ADM2),,,
ADTYP,11.3.3 A/D converter mode register 2 (ADM2),Figure11-6.FormatofA/DConverterModeRegister2(ADM2),2,,
ADTES,11.3.7 A/D test register (ADTES),Figure11-10.FormatofA/DTestRegister(ADTES),,A/D CONVERTER,
ADTES,20.3.7 Testing of the A/D converter,Figure20-12.FormatofA/DTestRegister(ADTES),,SAFETY FUNCTIONS,
PU0,"4.3.3 Pull-up resistor option registers 0, 1, 2, 4, 12 (PU0, PU1, PU2, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,1,2,4,12(PU0,PU1,PU2,PU4,PU12)",,,
PU1,"4.3.3 Pull-up resistor option registers 0, 1, 2, 4, 12 (PU0, PU1, PU2, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,1,2,4,12(PU0,PU1,PU2,PU4,PU12)",,,
PU2,"4.3.3 Pull-up resistor option registers 0, 1, 2, 4, 12 (PU0, PU1, PU2, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,1,2,4,12(PU0,PU1,PU2,PU4,PU12)",,,
PU4,"4.3.3 Pull-up resistor option registers 0, 1, 2, 4, 12 (PU0, PU1, PU2, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,1,2,4,12(PU0,PU1,PU2,PU4,PU12)",,,
PU12,"4.3.3 Pull-up resistor option registers 0, 1, 2, 4, 12 (PU0, PU1, PU2, PU4, PU12)","Figure4-3.FormatofPull-upResistorOptionRegisters0,1,2,4,12(PU0,PU1,PU2,PU4,PU12)",,,
POM0,"4.3.4 Port input mode registers 0, 1, 2, 4 (POM0, POM1, POM2, POM4)","Figure4-4.FormatofPortOutputModeRegisters0,1,2,4(POM0,POM1,POM2,POM4)",,,
POM1,"4.3.4 Port input mode registers 0, 1, 2, 4 (POM0, POM1, POM2, POM4)","Figure4-4.FormatofPortOutputModeRegisters0,1,2,4(POM0,POM1,POM2,POM4)",,,
POM2,"4.3.4 Port input mode registers 0, 1, 2, 4 (POM0, POM1, POM2, POM4)","Figure4-4.FormatofPortOutputModeRegisters0,1,2,4(POM0,POM1,POM2,POM4)",,,
POM4,"4.3.4 Port input mode registers 0, 1, 2, 4 (POM0, POM1, POM2, POM4)","Figure4-4.FormatofPortOutputModeRegisters0,1,2,4(POM0,POM1,POM2,POM4)",,,
PMC0,"4.3.5 Port mode control registers 0, 2 (PMC0, PMC2)","Figure4-5.FormatofPortModeControlRegisters0,2(PMC0,PMC2)",,,
PMC2,"4.3.5 Port mode control registers 0, 2 (PMC0, PMC2)","Figure4-5.FormatofPortModeControlRegisters0,2(PMC0,PMC2)",,,
NFEN0,13.3.15 Noise filter enable register 0 (NFEN0),Figure13-20.FormatofNoiseFilterEnableRegister0(NFEN0),,,
